,ID,Title,Acceptance,Difficulty,Frequency,Link
159,977,Squares of a Sorted Array,72.1%,Easy,0.0038910554929666, https://leetcode.com/problems/squares-of-a-sorted-array
160,217,Contains Duplicate,56.0%,Easy,0.0037979536727587, https://leetcode.com/problems/contains-duplicate
161,8,String to Integer (atoi),15.4%,Medium,0.0037925521897059, https://leetcode.com/problems/string-to-integer-atoi
162,153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.0037558729598054, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
163,3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0034967787592642, https://leetcode.com/problems/longest-substring-without-repeating-characters
164,151,Reverse Words in a String,21.9%,Medium,0.0034560919159889, https://leetcode.com/problems/reverse-words-in-a-string
165,70,Climbing Stairs,47.8%,Easy,0.0033908554831678, https://leetcode.com/problems/climbing-stairs
166,122,Best Time to Buy and Sell Stock II,57.0%,Easy,0.0033545821461532, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
167,14,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix
168,19,Remove Nth Node From End of List,35.2%,Medium,0.0030764522033934, https://leetcode.com/problems/remove-nth-node-from-end-of-list
169,9,Palindrome Number,48.4%,Easy,0.0030379001110948, https://leetcode.com/problems/palindrome-number
170,140,Word Break II,32.6%,Hard,0.0027070942357783, https://leetcode.com/problems/word-break-ii
171,621,Task Scheduler,50.1%,Medium,0.0023417843381444, https://leetcode.com/problems/task-scheduler
172,210,Course Schedule II,40.7%,Medium,0.0019086707135282, https://leetcode.com/problems/course-schedule-ii
173,79,Word Search,35.6%,Medium,0.0016647248725526, https://leetcode.com/problems/word-search
191,715,Range Module,38.5%,Hard,0.1636294237818021, https://leetcode.com/problems/range-module
209,794,Valid Tic-Tac-Toe State,32.6%,Medium,0.0922312242160336, https://leetcode.com/problems/valid-tic-tac-toe-state
226,195,Tenth Line,33.0%,Easy,0.0612749075005516, https://leetcode.com/problems/tenth-line
232,417,Pacific Atlantic Water Flow,41.1%,Medium,0.0575238441381866, https://leetcode.com/problems/pacific-atlantic-water-flow
237,426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0536801494636237, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
246,529,Minesweeper,59.1%,Medium,0.0442550090040407, https://leetcode.com/problems/minesweeper
256,128,Longest Consecutive Sequence,45.1%,Hard,0.0357260588647216, https://leetcode.com/problems/longest-consecutive-sequence
257,295,Find Median from Data Stream,44.3%,Hard,0.0355198272485353, https://leetcode.com/problems/find-median-from-data-stream
259,214,Shortest Palindrome,29.8%,Hard,0.0341913647482793, https://leetcode.com/problems/shortest-palindrome
263,284,Peeking Iterator,45.7%,Medium,0.0311067071322548, https://leetcode.com/problems/peeking-iterator
264,163,Missing Ranges,24.3%,Medium,0.0308904870193384, https://leetcode.com/problems/missing-ranges
276,518,Coin Change 2,50.2%,Medium,0.027969505010125, https://leetcode.com/problems/coin-change-2
278,796,Rotate String,49.6%,Easy,0.0270104198827624, https://leetcode.com/problems/rotate-string
293,221,Maximal Square,37.7%,Medium,0.0221084907542034, https://leetcode.com/problems/maximal-square
298,45,Jump Game II,30.6%,Hard,0.0213531244705689, https://leetcode.com/problems/jump-game-ii
300,350,Intersection of Two Arrays II,51.4%,Easy,0.0206805871072069, https://leetcode.com/problems/intersection-of-two-arrays-ii
308,184,Department Highest Salary,36.7%,Medium,0.0187359110574698, https://leetcode.com/problems/department-highest-salary
309,532,K-diff Pairs in an Array,31.6%,Easy,0.0187359110574698, https://leetcode.com/problems/k-diff-pairs-in-an-array
316,560,Subarray Sum Equals K,43.9%,Medium,0.0170090206660133, https://leetcode.com/problems/subarray-sum-equals-k
319,340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.0161228804865631, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
321,59,Spiral Matrix II,53.9%,Medium,0.0157918796978916, https://leetcode.com/problems/spiral-matrix-ii
324,707,Design Linked List,24.5%,Medium,0.0150548571670658, https://leetcode.com/problems/design-linked-list
325,102,Binary Tree Level Order Traversal,54.6%,Medium,0.0144772705882875, https://leetcode.com/problems/binary-tree-level-order-traversal
326,109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.0144406841547943, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
327,315,Count of Smaller Numbers After Self,41.5%,Hard,0.0143525965749565, https://leetcode.com/problems/count-of-smaller-numbers-after-self
331,44,Wildcard Matching,24.7%,Hard,0.0137035374972618, https://leetcode.com/problems/wildcard-matching
339,119,Pascal's Triangle II,49.0%,Easy,0.0118942823606098, https://leetcode.com/problems/pascals-triangle-ii
345,117,Populating Next Right Pointers in Each Node II,39.1%,Medium,0.0113896447643578, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
349,212,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii
350,905,Sort Array By Parity,74.1%,Easy,0.0096039153541803, https://leetcode.com/problems/sort-array-by-parity
361,103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.006816368572598, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
362,29,Divide Two Integers,16.4%,Medium,0.0067727993400924, https://leetcode.com/problems/divide-two-integers
364,107,Binary Tree Level Order Traversal II,53.5%,Easy,0.0064236610799171, https://leetcode.com/problems/binary-tree-level-order-traversal-ii
368,152,Maximum Product Subarray,31.7%,Medium,0.005590510716885, https://leetcode.com/problems/maximum-product-subarray
370,287,Find the Duplicate Number,55.5%,Medium,0.0055013204348376, https://leetcode.com/problems/find-the-duplicate-number
371,268,Missing Number,51.7%,Easy,0.0048804391649084, https://leetcode.com/problems/missing-number
382,11,Container With Most Water,50.8%,Medium,0.0030677223230101, https://leetcode.com/problems/container-with-most-water
385,67,Add Binary,45.2%,Easy,0.0016620272243229, https://leetcode.com/problems/add-binary
684,1380,Lucky Numbers in a Matrix,71.5%,Easy,0.0, https://leetcode.com/problems/lucky-numbers-in-a-matrix
685,1410,HTML Entity Parser,54.0%,Medium,0.0, https://leetcode.com/problems/html-entity-parser
